TransactionID,CustomerID,TransactionDate,TransactionAmount__INR,transaction_type,channel,currency,iban,status,notes,timestamp_ms
1177, C1066 ,  2017-07-13  ,279559.92,ijara_loyer,ATM,?,,VALIDÉ,Transaction 177 — produit islamique,1685900527000
TXN1150,1169,"January 15, 2013",240216.170000,TRANSFER,GUICHET,TND,TN59 3516 17315517 56,pending,,1720442661000
TXN1216, C1138 ,14/06/1986,407031.71,retrait,GUICHET,XAU,TN5938708829025545,pending,Transaction 216 — produit islamique,1625166329000
TXN1272,C1070,#NA,  481532.26  ,retrait,,EUR,,1,Transaction 272 — produit islamique,nil
TXN1288,C1143,03/01/2010,128931.64,murabaha_paiement,mobile,dinars,IBAN_INVALIDE,en_attente,Transaction 288 — produit islamique,1665464952000
 TXN1250 ,c1123,2012/02/08,None,débit,,TND,TN59 9460 64471218 55,1,undefined,1731541705
TXN01173,c1083,1997,328094.19€,DEPOT,,tnd,IBAN_INVALIDE,1,Transaction 173 — produit islamique,n/a
TXN1286,C1132,2008/12/14,UNKNOWN,retrait,agence,XAU,TN5928925771662518,validé,Transaction 286 — produit islamique,1695456367
TXN1103,C1152,1988-03,444373,DEPOT,internet,tnd,IBAN_INVALIDE,refusé,Transaction 103 — produit islamique,1679064618
txn1211,C1087,1998-03,402417,VIREMENT,mobile,USD,TN5948505447986132,en_attente,Transaction 211 — produit islamique,1665200660
 TXN1050 ,C1071,12-05-2009,329088.81 TND,murabaha_paiement,guichet,TND,TN59 8790 46385762 15,annulé,NA,
txn1019,C1191,2012-03,207981,DEPOT,,DT,undefined,1,Transaction 19 — produit islamique,1649609230
txn1131,C1015,1988-12-08,"191569.34,",DEPOT,app,USD,TN5987502181394129,,Transaction 131 — produit islamique,nan
1241,C1198,09/14/1998,"275,880.75",dépôt,app,USD,TN5972678445669159,,Transaction 241 — produit islamique,1753991534
 TXN1018 ,C01197,"December 14, 1998",58796.130000,depot,GUICHET,dinars,IBAN_INVALIDE,pending,Transaction 18 — produit islamique,1677334365000
1265,c1035,07/29/2014,"373,932.32",UNKNOWN,ATM,DINAR,TN59 5157 51158280 83,VALIDÉ,--,1732564632
TXN1167,C1007,1995-11-08,"244444.49,",UNKNOWN,mobile,?,,en_attente,Transaction 167 — produit islamique,NONE
TXN1132,c1139,21/01/2020,172082.66,retrait,agence,EUR,,validé,Transaction 132 — produit islamique,1641136016000
 TXN1122 , C1034 ,27-12-2019,292395.55 TND,TRANSFER,ATM,EUR,,VALIDÉ,Transaction 122 — produit islamique,NULL
 TXN1210 ,1177,"December 15, 2010",365274.280000,virement,ATM,TND,TN59 8091 88533572 71,VALIDÉ,NULL,1672002787000
TXN1055,C1182,2020-03,77223,UNKNOWN,agence,DINAR,TN59 5037 19865900 20,validé,NA,1679171448
TXN1156,1049,30/08/1990,211745.11,Virement,mobile,XAU,TN5933527763708541,en_attente,Transaction 156 — produit islamique,1659121195000
TXN1110,C1095,11-09-1990,390583.88 TND,débit,agence,TND,TN59 6680 80196591 76,validé,nr,NULL
TXN1084,1193,13/11/1986,359518.22,virement,GUICHET,Tnd,?,pending,Transaction 84 — produit islamique,1717331776000
txn1227,C1166,1993-08-21,"256995.96,",dépôt,GUICHET,?,,pending,Transaction 227 — produit islamique,NONE
 TXN1130 ,C1071,2005/01/03,#NA,depot,N/A,TND,TN59 3831 57505459 37,0,#NA,1710018831
TXN01293,C1047,2023,62607.45€,UNKNOWN,GUICHET,tnd,IBAN_INVALIDE,pending,Transaction 293 — produit islamique,nd
TXN1096,1033,19/08/2011,259770.18,débit,,XAU,TN5977105485669675,1,Transaction 96 — produit islamique,1773503233000
TXN1094,C1176,1990/12/02,N/A,TRANSFER,guichet,Tnd,nan,annulé,Transaction 94 — produit islamique,1750940418
TXN1060,C1092,16/04/1996,360477.64,depot,swift,TND,TN59 8121 47038975 63,REFUSED,#NA,1723504103000
TXN1108,C1022,28/06/2004,226740.58,TRANSFER,N/A,dinars,IBAN_INVALIDE,0,Transaction 108 — produit islamique,1761224546000
 TXN1290 ,C1188,18-01-2005,190597.39 TND,TRANSFER,internet,TND,TN59 6818 53632879 96,refusé,undefined,not available
1137,c1059,2011,10062.00€,credit,swift,?,,REFUSED,Transaction 137 — produit islamique,
TXN1220,C1188,19/01/08,$188661.39,TRANSFER,agence,TND,TN59 8353 33813700 97,validé,N/A,1626585374
TXN1118,C1000,2014/06/27,nr,retrait,,dinars,IBAN_INVALIDE,1,Transaction 118 — produit islamique,1693449420
TXN1087,C1152,20090303,TND 161894.44,dépôt,app,?,,,Transaction 87 — produit islamique,1697442651000
TXN1239,C01157,2014-07-31,"346759.72,",VIREMENT,,DT,NA,1,Transaction 239 — produit islamique,#N/A
TXN1168, C1066 ,06/08/2018,344456.38,virement,MOBILE,dinars,IBAN_INVALIDE,En_Attente,Transaction 168 — produit islamique,1768627495000
txn1035,C1084,2014-01-04,"461120.83,",RETRAIT,mobile,DINAR,TN59 9683 27997624 59,en_attente,null,MISSING
txn1123,1137,20010127,TND 103897.35,credit,mobile,tnd,IBAN_INVALIDE,en_attente,Transaction 123 — produit islamique,1651617525000
txn1259,C1000,2015-06,215805,RETRAIT,guichet,DT,MISSING,annulé,Transaction 259 — produit islamique,1676573740
TXN1079,c1107,2011-10,287445,ijara_loyer,mobile,DT,nil,en_attente,Transaction 79 — produit islamique,1726133301
1209, C1034 ,2007,265229.14€,UNKNOWN,agence,DT,missing,validé,Transaction 209 — produit islamique,MISSING
TXN1096,1033,19/08/2011,259770.18,débit,,XAU,TN5977105485669675,1,Transaction 96 — produit islamique,1773503233000
TXN1020,1193,--,  41026.97  ,retrait,N/A,TND,TN59 9806 99133246 37,0,missing,ND
txn1043,1001,2003-07,421288,VIREMENT,app,tnd,IBAN_INVALIDE,,Transaction 43 — produit islamique,1757751175
TXN1236,1041,NaN,  308480.77  ,débit,swift,XAU,TN5982137632724226,REFUSED,Transaction 236 — produit islamique,nan
TXN1295,C01021,2014-05,154754,VIREMENT,N/A,DINAR,TN59 9584 21173787 23,0,nr,1699713459
1145,1105,02/13/2007,"175,680.46",DEPOT,mobile,DINAR,TN59 1788 61799600 66,en_attente,NULL,1647284264
TXN01269,1049,1986,299797.50€,dépôt,swift,DT,n/a,REFUSED,Transaction 269 — produit islamique,ND
TXN1172,C01165,21/08/11,$141410.17,depot,GUICHET,EUR,,pending,Transaction 172 — produit islamique,1746977091
TXN1054,C1174,"April 13, 2011",190098.350000,débit,app,Tnd,NONE,,Transaction 54 — produit islamique,1696705854000
 TXN1058 ,C01021,2017/07/07,NaN,Virement,MOBILE,dinars,IBAN_INVALIDE,En_Attente,Transaction 58 — produit islamique,1622461721
 TXN1170 ,1033,15-01-2014,300610.86 TND,Virement,swift,TND,TN59 7709 78891441 12,REFUSED,NaN,N/A
1073,c1027,05/18/2015,"82,260.61",dépôt,GUICHET,tnd,IBAN_INVALIDE,pending,Transaction 73 — produit islamique,1710521296
TXN01013, C1034 ,03/06/2023,"234,063.58",UNKNOWN,mobile,tnd,IBAN_INVALIDE,en_attente,Transaction 13 — produit islamique,1745757795
1105, C1010 ,  1987-09-18  ,-199047.71,RETRAIT,guichet,DINAR,TN59 1273 88834594 18,annulé,not available,1641496872000
TXN1100, C1098 ,08/10/00,$157320.38,Virement,ATM,TND,TN59 4559 21635070 22,VALIDÉ,NaN,1701648241
txn1107,C1100,2011-04-23,"381635.74,",ijara_loyer,,?,,1,Transaction 107 — produit islamique,nd
TXN1292, C1074 ,13/11/16,$302731.95,débit,guichet,EUR,,annulé,Transaction 292 — produit islamique,1703183573
TXN1080, C1042 ,n/a,  70234.24  ,TRANSFER,MOBILE,TND,TN59 8973 95295586 78,En_Attente,?,undefined
TXN1244, C1074 ,03/01/91,$250611.47,retrait,mobile,Tnd,nr,en_attente,Transaction 244 — produit islamique,1669484974
TXN1031,C01077,1991-06,260673,dépôt,N/A,USD,TN5955130736305105,0,Transaction 31 — produit islamique,1695331069
1289,c1147,11/01/2010,"324,600.56",ijara_loyer,MOBILE,DT,nan,En_Attente,Transaction 289 — produit islamique,1699597105
TXN01085,C1008,03/05/2005,"174,353.63",VIREMENT,,DINAR,TN59 7965 23746101 93,1,null,1658134251
TXN1192,C1199,15/12/2007,361809.45,TRANSFER,swift,EUR,,REFUSED,Transaction 192 — produit islamique,1707305667000
TXN1212,c1051,#NA,  357220.83  ,Virement,MOBILE,EUR,,En_Attente,Transaction 212 — produit islamique,na
TXN1068,C01173,nil,  483408.89  ,débit,mobile,dinars,IBAN_INVALIDE,en_attente,Transaction 68 — produit islamique,--
TXN01029,C1052,1988,297012.68€,VIREMENT,GUICHET,DT,NaN,pending,Transaction 29 — produit islamique,#NA
TXN1260,C1196,na,  294565.14  ,murabaha_paiement,GUICHET,TND,TN59 1711 81110769 64,pending,-,?
TXN1151,C01029,1998-11,198793,credit,,USD,TN5921531888653315,1,Transaction 151 — produit islamique,1704859602
 TXN1066 , C1122 ,"February 13, 2011",267230.260000,TRANSFER,agence,XAU,TN5973200761438465,validé,Transaction 66 — produit islamique,1663709442000
TXN1230, C1058 ,08-08-1996,194077.50 TND,retrait,app,TND,TN59 3916 43810519 81,,nil,NIL
 TXN1114 ,C1063,"September 3, 2003",160035.580000,Virement,internet,Tnd,NA,refusé,Transaction 114 — produit islamique,1755088529000
TXN1038,C1198,12-09-1997,233178.61 TND,TRANSFER,swift,dinars,IBAN_INVALIDE,REFUSED,Transaction 38 — produit islamique,na
 TXN1122 , C1034 ,27-12-2019,292395.55 TND,TRANSFER,ATM,EUR,,VALIDÉ,Transaction 122 — produit islamique,NULL
 TXN1282 ,C1080,"December 2, 2015",6008.810000,Virement,GUICHET,EUR,,pending,Transaction 282 — produit islamique,1674144251000
TXN01253,1041,01/17/1991,"256,370.14",VIREMENT,agence,tnd,IBAN_INVALIDE,validé,Transaction 253 — produit islamique,1736572379
txn1171,C1055,20051208,TND 338630.36,dépôt,guichet,USD,TN5974597805826438,annulé,Transaction 171 — produit islamique,1669386356000
TXN1198,1105,"October 8, 2004",31761.690000,Virement,agence,dinars,IBAN_INVALIDE,validé,Transaction 198 — produit islamique,1691643572000
TXN1078,C1151,"October 20, 1988",67060.490000,murabaha_paiement,ATM,dinars,IBAN_INVALIDE,VALIDÉ,Transaction 78 — produit islamique,1711954800000
TXN01109,c1003,10/03/2016,"350,779.66",credit,app,DT,NULL,,Transaction 109 — produit islamique,1642741348
 TXN1090 ,C1196,"March 6, 1989",257855.170000,retrait,mobile,TND,TN59 5402 94263610 63,en_attente,ND,1676924391000
1249,C1167,  2022-06-24  ,258379.78,credit,GUICHET,DT,#N/A,pending,Transaction 249 — produit islamique,1716162116000
TXN1256,1185,03/10/15,$461183.74,depot,MOBILE,XAU,TN5947226675444820,En_Attente,Transaction 256 — produit islamique,1757516304
TXN01053,C1198,1999,317098.06€,credit,N/A,tnd,IBAN_INVALIDE,0,Transaction 53 — produit islamique,undefined
TXN1240,C1056,12/12/2016,320455.19,Virement,N/A,TND,TN59 6971 52457517 64,0,?,1679497390000
TXN1071, C1186 ,1991-05-11,"156013.98,",VIREMENT,swift,USD,TN5926334129370243,REFUSED,Transaction 71 — produit islamique,--
1281,C1108,2006,16378.07€,VIREMENT,guichet,USD,TN5917619822795288,annulé,Transaction 281 — produit islamique,nil
TXN1004,C1044,15/08/05,$171229.28,depot,internet,Tnd,NA,refusé,Transaction 4 — produit islamique,1705031997
TXN01213,c1163,  1999-06-18  ,57791.09,dépôt,internet,tnd,IBAN_INVALIDE,refusé,Transaction 213 — produit islamique,1625060235000
TXN1102,C1191,"July 29, 2002",323120.270000,depot,MOBILE,EUR,,En_Attente,Transaction 102 — produit islamique,1711748549000
TXN1214,C1191,2022/09/29,NIL,depot,swift,Tnd,nd,REFUSED,Transaction 214 — produit islamique,1772568120
TXN1196, C1178 ,02/08/17,$490786.43,virement,N/A,XAU,TN5925909275173570,0,Transaction 196 — produit islamique,1748155904
txn1275,1017,2002-03-02,"394349.14,",ijara_loyer,agence,DINAR,TN59 8548 88762521 13,validé,nd,ND
1113,c1011,2006,191551.44€,VIREMENT,MOBILE,tnd,IBAN_INVALIDE,En_Attente,Transaction 113 — produit islamique,NONE
TXN1247,c1171,1994-04,453872,ijara_loyer,swift,?,,REFUSED,Transaction 247 — produit islamique,1671818228
txn1083,C01197,2019-05-11,"274908.12,",UNKNOWN,guichet,tnd,IBAN_INVALIDE,annulé,Transaction 83 — produit islamique,#N/A
TXN01261,c1059,  1988-10-05  ,299186.35,ijara_loyer,,USD,TN5977148611852267,1,Transaction 261 — produit islamique,1666300915000
TXN01117,C1062,  1991-10-03  ,466205.53,DEPOT,GUICHET,?,,pending,Transaction 117 — produit islamique,1713451324000
TXN01181,C1080,06/18/2013,"2,456.28",UNKNOWN,swift,USD,TN5998808467411975,REFUSED,Transaction 181 — produit islamique,1719790528
1001,C01013,03/06/2011,"85,338.98",VIREMENT,ATM,USD,TN5942025757079815,VALIDÉ,Transaction 1 — produit islamique,1673939613
TXN1134,C1168,27-10-1995,266891.41 TND,murabaha_paiement,mobile,Tnd,NaN,en_attente,Transaction 134 — produit islamique,nr
txn1243,C01141,19960909,TND 447003.57,DEPOT,ATM,tnd,IBAN_INVALIDE,VALIDÉ,Transaction 243 — produit islamique,1649266741000
TXN1118,C1000,2014/06/27,nr,retrait,,dinars,IBAN_INVALIDE,1,Transaction 118 — produit islamique,1693449420
TXN1223,1129,1992-02,271585,UNKNOWN,MOBILE,tnd,IBAN_INVALIDE,En_Attente,Transaction 223 — produit islamique,1751314733
txn1003,C1188,20170818,TND 352917.04,dépôt,MOBILE,tnd,IBAN_INVALIDE,En_Attente,Transaction 3 — produit islamique,1720338314000
TXN1012, C1074 ,06/09/1986,149266.27,débit,ATM,EUR,,VALIDÉ,Transaction 12 — produit islamique,1747192870000
1065,C1104,2015,69675.64€,ijara_loyer,app,DINAR,TN59 1440 71957885 36,,NaN,N/A
TXN1188,1097,MISSING,  126443.87  ,retrait,ATM,dinars,IBAN_INVALIDE,VALIDÉ,Transaction 188 — produit islamique,None
 TXN1154 ,C1015,2022/09/19,NIL,virement,agence,Tnd,MISSING,validé,Transaction 154 — produit islamique,1632245125
txn1155,C01101,2023-04-22,"17460.77,",VIREMENT,ATM,DINAR,TN59 8779 86868410 40,VALIDÉ,missing,--
1193,1025,06/24/2021,"437,082.81",credit,guichet,tnd,IBAN_INVALIDE,annulé,Transaction 193 — produit islamique,1679301792
TXN1204, C1130 ,24/03/2010,327332.53,murabaha_paiement,guichet,Tnd,n/a,annulé,Transaction 204 — produit islamique,1684498827000
TXN1287,C1176,1992-04-30,"107812.12,",RETRAIT,ATM,?,,VALIDÉ,Transaction 287 — produit islamique,UNKNOWN
1217, C1178 ,11/26/1997,"332,280.33",RETRAIT,,?,,1,Transaction 217 — produit islamique,1671962770
txn1051,C1144,19951015,TND 417341.81,ijara_loyer,GUICHET,USD,TN5952116779748588,pending,Transaction 51 — produit islamique,1630890056000
TXN1008,C1143,N/A,  68722.75  ,murabaha_paiement,,dinars,IBAN_INVALIDE,1,Transaction 8 — produit islamique,nr
TXN01045,c1003,  1985-10-02  ,361124.14,dépôt,ATM,DINAR,TN59 8993 12111482 10,VALIDÉ,n/a,1771394499000
1033, C1106 ,  2003-04-25  ,150014.26,DEPOT,agence,tnd,IBAN_INVALIDE,validé,Transaction 33 — produit islamique,1631597160000
txn1083,C01197,2019-05-11,"274908.12,",UNKNOWN,guichet,tnd,IBAN_INVALIDE,annulé,Transaction 83 — produit islamique,#N/A
 TXN1218 ,C1064,10-02-1994,434438.10 TND,murabaha_paiement,N/A,dinars,IBAN_INVALIDE,0,Transaction 218 — produit islamique,?
TXN01133,C1152,10/29/1994,"447,892.81",RETRAIT,ATM,tnd,IBAN_INVALIDE,VALIDÉ,Transaction 133 — produit islamique,1700583891
TXN1024,C1088,02/06/2016,270627.64,TRANSFER,mobile,Tnd,NIL,en_attente,Transaction 24 — produit islamique,1757468994000
TXN1296,c1043, ,  331808.21  ,Virement,app,XAU,TN5984131699359853,,Transaction 296 — produit islamique,UNKNOWN
txn1147,C1023,20000228,TND 492639.52,RETRAIT,internet,?,,refusé,Transaction 147 — produit islamique,1767676505000
TXN1104,c1139,NONE,  381386.70  ,retrait,swift,Tnd,na,REFUSED,Transaction 104 — produit islamique,null
TXN01157,1081,08/13/2017,"33,599.28",dépôt,MOBILE,?,,En_Attente,Transaction 157 — produit islamique,1626648301
TXN1072,C1112,22/05/2017,226278.35,Virement,guichet,EUR,,annulé,Transaction 72 — produit islamique,1695394653000
TXN1174,1153,"February 16, 2003",159860.910000,retrait,N/A,Tnd, ,0,Transaction 174 — produit islamique,1769163083000
TXN01189,1025,  2014-09-20  ,-135061.58,RETRAIT,mobile,DT,nd,en_attente,Transaction 189 — produit islamique,1739176627000
TXN1232, C1074 ,19/04/20,$150745.22,murabaha_paiement,ATM,EUR,,VALIDÉ,Transaction 232 — produit islamique,1700426917
TXN1134,C1168,27-10-1995,266891.41 TND,murabaha_paiement,mobile,Tnd,NaN,en_attente,Transaction 134 — produit islamique,nr
TXN01205,C1143,06/05/2019,"300,015.58",ijara_loyer,GUICHET,DINAR,TN59 6953 17284695 38,pending,nd,1678475042
txn1099,C1184,19940723,TND 374159.59,VIREMENT,agence,DT,na,validé,Transaction 99 — produit islamique,1657244665000
txn1219, C1154 ,19931024,TND 362484.77,ijara_loyer,app,DT,nr,,Transaction 219 — produit islamique,1697028449000
 TXN1146 ,C01005,19-04-1999,475835.90 TND,retrait,MOBILE,XAU,TN5914702326744056,En_Attente,Transaction 146 — produit islamique,NA
TXN1182,C1111,02-06-2013,201756.40 TND,virement,guichet,EUR,,annulé,Transaction 182 — produit islamique,nil
TXN01061,C01085,10/02/2022,"190,006.99",DEPOT,guichet,USD,TN5910950496268567,annulé,Transaction 61 — produit islamique,1657824739
1161,1177,2003,197956.79€,RETRAIT,GUICHET,USD,TN5995661483091294,pending,Transaction 161 — produit islamique,ND
txn1299, C1002 ,1985-01-02,"407708.36,",DEPOT,mobile,DT,n/a,en_attente,Transaction 299 — produit islamique,na
TXN01229,C01117,02/27/2017,"19,039.37",DEPOT,N/A,DT,,0,Transaction 229 — produit islamique,1761428704
TXN1191, C1010 ,2009-08-03,"455187.28,",ijara_loyer,internet,USD,TN5951568453380301,refusé,Transaction 191 — produit islamique,UNKNOWN
TXN1199,c1171,2000-03,261599,dépôt,ATM,DT,NaN,VALIDÉ,Transaction 199 — produit islamique,1750429812
1097, C1058 ,03/09/2002,"365,408.61",UNKNOWN,N/A,?,,0,Transaction 97 — produit islamique,1748293228
TXN1268,C1182,20/10/11,$472863.36,Virement,internet,dinars,IBAN_INVALIDE,refusé,Transaction 268 — produit islamique,1728947195
txn1163,1113,2019-09,160502,ijara_loyer,N/A,tnd,IBAN_INVALIDE,0,Transaction 163 — produit islamique,1664119602
TXN1000,C1078,28/09/2020,436062.35,virement,agence,TND,TN59 1272 59440148 52,validé,,1648599339000
TXN1116,c1051,#N/A,  392275.16  ,depot,guichet,XAU,TN5911122948174149,annulé,Transaction 116 — produit islamique,#NA
TXN01093,1025,  2013-02-02  ,418367.42,ijara_loyer,swift,tnd,IBAN_INVALIDE,REFUSED,Transaction 93 — produit islamique,1742646517000
1273,C1143,  1988-03-31  ,-147196.49,RETRAIT,N/A,tnd,IBAN_INVALIDE,0,Transaction 273 — produit islamique,1638211835000
txn1067,c1163,1988-10,384500,credit,ATM,?,,VALIDÉ,Transaction 67 — produit islamique,1680699225
TXN1191, C1010 ,2009-08-03,"455187.28,",ijara_loyer,internet,USD,TN5951568453380301,refusé,Transaction 191 — produit islamique,UNKNOWN
txn1115,C1132,1987-01,34556,dépôt,swift,DINAR,TN59 7108 26025721 74,REFUSED,n/a,1692593880
TXN01221,C1119,2016,20066.30€,credit,ATM,USD,TN5910791369268497,VALIDÉ,Transaction 221 — produit islamique,#NA
TXN1135,C1044,19921125,TND 296300.50,ijara_loyer,MOBILE,DINAR,TN59 1916 39448924 83,En_Attente,nr,1679686067000
TXN1280,c1147,29/04/97,$91517.64,virement,swift,TND,TN59 1692 74732147 57,REFUSED,missing,1700762680
 TXN1298 ,C1088,2006/08/10,null,depot,ATM,dinars,IBAN_INVALIDE,VALIDÉ,Transaction 298 — produit islamique,1657385206
TXN01141,c1187,  2015-11-20  ,63761.45,VIREMENT,N/A,USD,TN5963249757665314,0,Transaction 141 — produit islamique,1775513558000
1153,C1015,  1991-10-13  ,348265.83,UNKNOWN,app,tnd,IBAN_INVALIDE,,Transaction 153 — produit islamique,1752989298000
TXN1220,C1188,19/01/08,$188661.39,TRANSFER,agence,TND,TN59 8353 33813700 97,validé,N/A,1626585374
TXN1280,c1147,29/04/97,$91517.64,virement,swift,TND,TN59 1692 74732147 57,REFUSED,missing,1700762680
 TXN1082 ,C1007,2020/09/13, ,débit,swift,EUR,,REFUSED,Transaction 82 — produit islamique,1702215911
1089,C1063,2019,338149.65€,DEPOT,ATM,DT,?,VALIDÉ,Transaction 89 — produit islamique,None
txn1139,1169,2002-09,50605,UNKNOWN,GUICHET,DT,ND,pending,Transaction 139 — produit islamique,1689398040
TXN1047,C1062,2016-04-11,"150057.32,",DEPOT,MOBILE,?,,En_Attente,Transaction 47 — produit islamique,null
1145,1105,02/13/2007,"175,680.46",DEPOT,mobile,DINAR,TN59 1788 61799600 66,en_attente,NULL,1647284264
TXN01277,C01045,05/18/2006,"176,833.61",credit,mobile,?,,en_attente,Transaction 277 — produit islamique,1703766698
TXN01125,C01173,1998,410062.80€,UNKNOWN,internet,DINAR,TN59 2494 43315361 55,refusé,,nil
 TXN1178 ,C1084,2001/09/03,undefined,TRANSFER,mobile,dinars,IBAN_INVALIDE,en_attente,Transaction 178 — produit islamique,1744379456
 TXN1138 ,C1183,"December 17, 1992",422157.610000,débit,guichet,dinars,IBAN_INVALIDE,annulé,Transaction 138 — produit islamique,1760009247000
txn1075,C1188,20120719,TND 224842.55,DEPOT,N/A,DINAR,TN59 4053 95963619 94,0,nil,1774801631000
TXN1143,C1022,2021-11-10,"335045.28,",dépôt,agence,tnd,IBAN_INVALIDE,validé,Transaction 143 — produit islamique,NA
TXN1207,C1183,20180423,TND 204664.46,credit,N/A,?,,0,Transaction 207 — produit islamique,1723403910000
TXN1180,C1087,11/05/2003,446433.28,débit,internet,TND,TN59 9680 50044631 62,refusé,None,1691067642000
TXN1244, C1074 ,03/01/91,$250611.47,retrait,mobile,Tnd,nr,en_attente,Transaction 244 — produit islamique,1669484974
TXN01245,C01157,2015,378627.32€,RETRAIT,MOBILE,DINAR,TN59 6961 77399750 11,En_Attente,undefined,NONE
 TXN1210 ,1177,"December 15, 2010",365274.280000,virement,ATM,TND,TN59 8091 88533572 71,VALIDÉ,NULL,1672002787000
 TXN1034 ,C1118,1987/08/03,NIL,retrait,ATM,Tnd,--,VALIDÉ,Transaction 34 — produit islamique,1626400655
1185,C1175,1991,498069.84€,dépôt,N/A,DINAR,TN59 8469 79831928 86,0,na,-
TXN1223,1129,1992-02,271585,UNKNOWN,MOBILE,tnd,IBAN_INVALIDE,En_Attente,Transaction 223 — produit islamique,1751314733
txn1211,C1087,1998-03,402417,VIREMENT,mobile,USD,TN5948505447986132,en_attente,Transaction 211 — produit islamique,1665200660
txn1291,C1156,20100823,TND 424465.50,credit,swift,USD,TN5969366487037073,REFUSED,Transaction 291 — produit islamique,1754759733000
TXN01005,1057,1998,144573.17€,DEPOT,swift,DINAR,TN59 8932 35805259 41,REFUSED,ND,ND
1049,C1024,09/10/2008,"114,960.27",RETRAIT,swift,DT,#N/A,REFUSED,Transaction 49 — produit islamique,1623851219
txn1187,c1163,1996-06,267413,DEPOT,agence,?,,validé,Transaction 187 — produit islamique,1763121915
TXN1112,C1040,11/06/96,$51542.17,virement,mobile,EUR,,en_attente,Transaction 112 — produit islamique,1745036551
TXN1206, C1090 ,04-06-2013,146062.58 TND,TRANSFER,,XAU,TN5910305895074616,1,Transaction 206 — produit islamique,na
TXN1088,C1192,30/03/20,$459392.48,depot,agence,dinars,IBAN_INVALIDE,validé,Transaction 88 — produit islamique,1741934897
1193,1025,06/24/2021,"437,082.81",credit,guichet,tnd,IBAN_INVALIDE,annulé,Transaction 193 — produit islamique,1679301792
1257,c1051,2008,342215.48€,DEPOT,internet,?,,refusé,Transaction 257 — produit islamique,None
1201,C1120,  1992-06-02  ,375739.86,DEPOT,MOBILE,USD,TN5932088734930730,En_Attente,Transaction 201 — produit islamique,1711332274000
TXN1142,C1156,1994/11/29,UNKNOWN,Virement,app,EUR,,,Transaction 142 — produit islamique,1738242513
TXN1270,C1167,"January 5, 1985",43512.720000,depot,guichet,TND,TN59 4795 92569402 31,annulé,-,1668774014000
txn1059,C1068,1998-07-05,"246612.66,",dépôt,internet,DT,None,refusé,Transaction 59 — produit islamique,NONE
TXN1124,C1180,24/01/12,$107588.89,débit,MOBILE,Tnd,?,En_Attente,Transaction 124 — produit islamique,1736180812
TXN1032,C1044,nd,  213657.57  ,depot,app,EUR,,,Transaction 32 — produit islamique, 
